Episode,Reward,Length,TotalSteps
1084,9.4,11,11427
1085,13.4,15,11442
1086,59.2,68,11510
1087,19.8,21,11531
1088,9.2,10,11541
1089,7.0,9,11550
1090,3.6,4,11554
1091,8.6,9,11563
1092,3.6,4,11567
1093,27.4,33,11600
1094,5.0,5,11605
1095,15.8,19,11624
1096,19.6,22,11646
1097,29.2,34,11680
1098,41.6,48,11728
1099,3.6,4,11732
1100,5.6,6,11738
1101,33.6,36,11774
1102,25.2,30,11804
1103,11.8,13,11817
1104,9.8,11,11828
1105,5.8,7,11835
1106,15.0,17,11852
1107,14.8,18,11870
1108,13.4,15,11885
1109,3.6,4,11889
1110,8.2,11,11900
1111,16.0,18,11918
1112,9.4,11,11929
1113,6.4,8,11937
1114,4.0,4,11941
1115,16.6,21,11962
1116,6.4,8,11970
1117,11.4,13,11983
1118,15.6,18,12001
1119,5.6,6,12007
1120,5.0,5,12012
1121,6.4,8,12020
1122,18.4,20,12040
1123,46.0,52,12092
1124,17.6,20,12112
1125,9.6,12,12124
1126,9.6,10,12134
1127,7.6,8,12142
1128,4.6,5,12147
1129,4.2,5,12152
1130,16.8,20,12172
1131,14.6,17,12189
1132,10.2,11,12200
1133,13.2,16,12216
1134,5.2,6,12222
1135,8.2,9,12231
1136,8.0,10,12241
1137,4.0,4,12245
1138,38.2,45,12290
1139,21.8,23,12313
1140,5.8,7,12320
1141,7.2,8,12328
1142,4.0,4,12332
1143,12.8,16,12348
1144,17.0,19,12367
1145,5.2,6,12373
1146,7.4,9,12382
1147,14.4,16,12398
1148,16.4,20,12418
1149,8.4,10,12428
1150,10.4,12,12440
1151,9.2,10,12450
1152,4.0,4,12454
1153,4.0,4,12458
1154,15.6,18,12476
1155,3.6,4,12480
1156,39.4,45,12525
1157,23.6,26,12551
1158,5.2,6,12557
1159,15.2,18,12575
1160,11.4,15,12590
1161,28.0,32,12622
1162,3.6,4,12626
1163,7.2,8,12634
1164,16.0,18,12652
1165,13.6,16,12668
1166,5.0,5,12673
1167,13.8,15,12688
1168,8.8,10,12698
1169,9.2,10,12708
1170,16.2,19,12727
1171,10.4,12,12739
1172,6.0,6,12745
1173,4.2,5,12750
1174,3.6,4,12754
1175,11.8,13,12767
1176,8.2,9,12776
1177,10.2,11,12787
1178,10.0,12,12799
1179,12.2,13,12812
1180,8.4,10,12822
1181,9.2,10,12832
1182,9.8,11,12843
1183,18.2,21,12864
1184,15.2,18,12882
1185,17.2,20,12902
1186,6.4,8,12910
1187,13.4,15,12925
1188,5.0,5,12930
1189,23.2,26,12956
1190,10.4,12,12968
1191,19.4,23,12991
1192,8.0,10,13001
1193,15.0,17,13018
1194,24.2,27,13045
1195,27.4,31,13076
1196,9.0,9,13085
1197,15.0,17,13102
1198,5.6,6,13108
1199,7.4,9,13117
1200,11.6,12,13129
1201,6.2,7,13136
1202,12.8,14,13150
1203,9.8,11,13161
1204,11.6,12,13173
1205,8.2,9,13182
1206,7.2,8,13190
1207,11.8,13,13203
1208,6.8,8,13211
1209,8.0,8,13219
1210,4.2,5,13224
1211,6.4,8,13232
1212,26.0,30,13262
1213,5.6,6,13268
1214,11.4,13,13281
1215,6.2,7,13288
1216,9.4,11,13299
1217,10.0,12,13311
1218,5.6,6,13317
1219,9.0,9,13326
1220,9.2,10,13336
1221,12.4,14,13350
1222,23.4,27,13377
1223,25.6,30,13407
1224,8.8,10,13417
1225,12.0,14,13431
1226,10.0,12,13443
1227,14.4,16,13459
1228,14.4,16,13475
1229,9.2,10,13485
1230,4.6,5,13490
1231,5.6,6,13496
1232,10.4,12,13508
1233,4.6,5,13513
1234,62.0,72,13585
1235,11.0,13,13598
1236,10.8,12,13610
1237,3.8,5,13615
1238,12.0,14,13629
1239,14.8,16,13645
1240,23.2,26,13671
1241,6.0,6,13677
1242,25.0,27,13704
1243,20.0,22,13726
1244,3.2,4,13730
1245,26.4,30,13760
1246,6.6,7,13767
1247,7.6,8,13775
1248,29.2,34,13809
1249,8.2,9,13818
1250,37.4,43,13861
1251,12.0,14,13875
1252,5.6,6,13881
1253,22.2,25,13906
